203	2023-03-21 16:30:48Z	Always Read the Helm Chart Templates
204	2023-03-21 16:30:48Z	Fix For Bullshit WebDev Bug in Spotify
205	2023-03-21 16:30:48Z	Kubernetes Services Without a Selector FTW!
206	2023-03-21 16:30:48Z	Why Doesn't Decimal Work with Float in python?
207	2023-03-21 16:30:48Z	Linux/UNIX Flash Card Idea
208	2023-03-21 16:30:48Z	Kubernetes Certifications, Which and Why?
209	2023-03-21 16:30:48Z	Reconsidering "Computational Thinking" and Scratch
210	2023-03-21 16:30:48Z	Teach Yourself Computer Science
211	2023-03-21 16:30:48Z	EzMark: Simplified CommonMark + GFM Tables
212	2023-03-21 16:30:48Z	Idea of PEGN -> Compiled Regex Thwarted
213	2023-03-21 16:30:48Z	Check for Newer Version
214	2023-03-21 16:30:48Z	Source Code for Google Calendar Extension
215	2023-03-21 16:30:48Z	I Hate How Red Hat Hides
216	2023-03-21 16:30:48Z	What is your opinion of NFTs?
217	2023-03-21 16:30:48Z	Go So Popular with Hackers, Go Itself Getting Flagged
218	2023-03-21 16:30:48Z	How to tell if WSL1 or WSL2 Linux Windows?
219	2023-03-21 16:30:48Z	SKILSTAK Projects Stage
220	2023-03-21 16:30:48Z	CARA Network Protocol
222	2023-03-21 16:30:48Z	Zettel Category: Story
223	2023-03-21 16:30:48Z	Quote: George Carlin on "Pet Peeves"
224	2023-03-21 16:30:48Z	Go Templates in Beginner Boost, Bonzai Dynamic
225	2023-03-21 16:30:48Z	Flexible Workspace Strategy FTW
226	2023-03-21 16:30:48Z	Making Minimal Image Compatible with JupyterHub in K8S
227	2023-03-21 16:30:48Z	YouTube Live Streaming Sucks
228	2023-03-21 16:30:48Z	Make Sure `/etc/sshd_config`, Not `/etc/ssh_config`
229	2023-03-21 16:30:48Z	Getting Linux Root with Grub
230	2023-03-21 16:30:48Z	"Based" Means Something Good in Slang
231	2023-03-21 16:30:48Z	Use `net/http/httptest` for HTTP Go Testing
232	2023-03-21 16:30:48Z	Give Go fmt.Stringer a Non-Pointer Receiver
